"Year","FishingEntityID","Prop"
1974,135,0.174921793534932
1974,95,0.825078206465068
1975,135,0.156128563646268
1975,95,0.843871436353732
1976,135,0.27248902847397
1976,95,0.72751097152603
1977,135,0.209548373513001
1977,95,0.790451626486999
1978,135,0.219379982986132
1978,95,0.780620017013868
1979,135,0.0999855058459755
1979,95,0.900014494154025
1980,135,0.275104891591086
1980,95,0.724895108408914
1981,135,0.130262546785783
1981,95,0.869737453214217
1982,135,0.276330924642383
1982,95,0.723669075357617
1983,135,0.282593938425907
1983,95,0.717406061574093
1984,135,0.322474331347446
1984,95,0.677525668652554
1985,135,0.321903193201812
1985,95,0.678096806798188
1986,135,0.579555593321154
1986,95,0.420444406678846
1987,135,0.617460157353238
1987,95,0.382539842646762
1988,135,0.480536473666994
1988,95,0.519463526333006
1989,135,0.302752784918595
1989,95,0.697247215081405
