Country,FishingEntityID,CountryGroupID
AUSTRALIA,7,6
BAHRAIN,9,2
BANGLADESH,10,2
BELIZE,16,5
EU.BULGARIA,21,4
CHINA,31,3
COMOROS,36,1
DJIBOUTI,61,1
EAST TIMOR,143,2
EGYPT,182,1
ERITREA,23,1
EU.FRANCE,58,7
EU.FRANCE.MAYOTTE,37,1
EU.FRANCE.REUNION,146,1
EU.GERMANY,66,7
EU.PORTUGAL,141,7
EU.SPAIN,165,7
EU.ITALY,88,7
EU.UK,183,7
GUINEA,76,1
INDIA,82,2
INDONESIA,83,2
IRAN ISLAMIC REP.,84,2
ISRAEL,87,2
JAPAN,91,3
JORDAN,92,2
KENYA,93,1
KOREA REP.,95,3
KUWAIT,96,2
MADAGASCAR,103,1
MALAYSIA,104,2
MALDIVES,105,2
MAURITIUS,109,1
MOZAMBIQUE,114,1
MYANMAR,22,2
NEI.FROZEN,1000,1000
NEI.EXSOVIET,2000,2000
NEI.FRESH,1000,1000
NEI.EEZ_INDONESIA,83,2
NEI.OTHER,1000,1000
OMAN,115,2
PAKISTAN,134,2
PHILIPPINES,138,2
QATAR,145,2
SAUDI ARABIA,156,2
SENEGAL,157,1
SEYCHELLES,158,1
SOUTH AFRICA,164,1
SOVIET UNION,2000,2000
SRI LANKA,29,2
SUDAN,167,1
"TAIWAN,CHINA",32,3
TANZANIA,186,1
THAILAND,171,2
UN. ARAB EMIRATES,176,2
UK.TERRITORIES,183,7
VANUATU,122,5
YEMEN,193,2
