Fleet,FishingEntityID,CountryGroupID
AUS    ,7,6
CHN    ,31,3
TWN    ,32,3
EUFRA  ,58,7
EUMYT  ,37,1
EUREU  ,146,1
EUPRT  ,141,7
EUESP  ,165,7
EUGBR  ,183,7
GIN    ,76,1
IND    ,82,2
IDN    ,83,2
IRN    ,84,2
JPN    ,92,2
KOR    ,95,3
MDG    ,103,1
MYS    ,104,2
MDV    ,105,2
MUS    ,109,1
OMN    ,115,2
PAK    ,134,2
PHL    ,138,2
SEN    ,157,1
SYC    ,158,1
ZAF    ,164,1
SUN    ,2000,2000
LKA    ,29,2
THA    ,171,2
GBRT   ,183,7
YEM    ,193,2
NEICE  ,1000,1000
NEIFR  ,1000,1000
NEIPS  ,1000,1000
NEISU  ,2000,2000
EUITA  ,88,7
