FishingEntityID,CountryGroupID,GearGroupID
91,4,301
187,6,301
165,9,301
56,7,301
83,3,301
133,7,301
138,3,301
7,6,301
136,7,301
60,7,301
157,1,301
69,7,301
18,7,301
180,7,301
121,7,301
110,6,301
123,7,301
110,6,302
187,6,302
191,7,302
56,7,302
60,7,302
69,7,302
122,7,302
32,4,302
157,1,302
83,3,302
138,3,302
161,3,302
31,4,302
16,5,302
91,4,302
26,6,302
95,4,302
121,7,302
49,5,302
7,6,302
174,7,302
165,9,302
131,7,302
123,7,302
148,8,302
192,7,302
133,7,302
173,7,302
136,7,302
18,7,302
132,7,302
180,7,302
40,7,302
126,7,302
141,9,302
117,7,302
187,6,303
26,6,303
157,1,303
133,7,303
148,8,303
161,3,303
49,5,303
138,3,303
16,5,303
141,9,303
7,6,303
60,7,303
83,3,303
110,6,303
165,9,303
173,7,303
56,7,401
157,1,401
138,3,401
122,7,401
69,7,401
83,3,401
187,2,401
123,7,401
141,9,401
18,7,401
187,6,401
49,5,401
131,7,401
132,7,401
95,4,401
50,5,401
32,4,401
110,6,401
7,6,401
133,7,401
148,8,401
91,4,401
31,4,401
136,7,401
161,3,401
165,9,401
16,5,401
180,7,401
165,9,500
187,6,500
16,5,500
133,7,500
95,4,500
148,8,500
32,4,500
49,5,500
110,6,500
161,3,500
91,4,500
138,3,500
83,3,500
141,9,500
157,1,500
110,6,600
157,1,600
123,7,600
16,5,600
49,5,600
141,9,600
69,7,600
32,4,600
138,3,600
7,6,600
180,7,600
133,7,600
126,7,600
148,8,600
60,7,600
165,9,600
83,3,600
117,7,600
91,4,600
138,3,602
32,4,602
148,8,602
141,9,602
165,9,602
83,3,602
157,1,602
133,7,602
49,5,602
16,5,602
110,6,602
